id,client_id,client_name,artisan_id,artisan_name,service_type,description,city,price,rating,latitude,longitude,created_at,updated_at,commune
2306,CL-1827,User_1827,1849,Tarek_1849,Ébéniste,Création et restauration de meubles.,Skikda,1784,3.9,36.8200545,6.3880209,2026-10-05 05:10:45,2026-10-13 05:10:45,Ouldja Boulballout
2307,CL-0479,User_0479,6,Nadia_6,Cosmétiques (Crèmes hydratantes),Fabrication de cosmétiques artisanaux.,Skikda,3798,4.3,36.7331778,7.2219657,2026-06-25 23:02:25,2026-07-12 23:02:25,Aïn Charchar
2308,CL-1295,User_1295,4646,Ilyes_4646,Chauffagiste,Installation et entretien de chauffage.,Skikda,6537,3.4,36.8992518,6.7934365,2026-12-22 16:34:56,2026-12-31 18:00:00,Aïn Zouit
2309,CL-0279,User_0279,2301,Ferial_2301,Soutien Scolaire,Cours de soutien et accompagnement scolaire.,Skikda,8180,4.8,37.0310788,7.2566883,2026-08-31 12:12:32,2026-09-15 12:12:32,El Marsa
2310,CL-0626,User_0626,872,Ahmed_872,Vitrailler / Miroitier,Pose et réparation de vitres et miroirs.,Skikda,12136,3.8,36.8992518,6.7934365,2026-03-19 08:02:19,2026-04-11 08:02:19,Aïn Zouit
2311,CL-1003,User_1003,2522,Adel_2522,Charpentier,Travaux de charpente et structure.,Skikda,10817,3.9,36.6514052,6.8360907,2026-04-22 06:05:38,2026-05-08 06:05:38,El Harrouch
2312,CL-0120,User_0120,1375,Wissal_1375,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,4489,4.9,36.8441177,6.929106,2026-03-25 04:12:34,2026-03-29 04:12:34,Hamadi Krouma
2313,CL-0798,User_0798,2915,Tarek_2915,Climatisation / Frigoriste,Pose et maintenance de climatisation.,Skikda,5743,4.5,36.7044252,6.8563693,2026-09-11 03:22:37,2026-10-02 03:22:37,Salah Bouchaour
2314,CL-0244,User_0244,3083,Racha_3083,Organisation d'événements,Planification et gestion d'événements.,Skikda,3353,4.2,36.8992518,6.7934365,2026-05-30 03:12:09,2026-06-03 03:12:09,Aïn Zouit
2315,CL-0619,User_0619,1682,Imad_1682,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,3723,4.3,36.7792138,7.1724216,2026-04-27 15:11:46,2026-05-01 15:11:46,Djendel Saadi Mohamed
2316,CL-0409,User_0409,2425,Reda_2425,Plombier,Réparation et installation de plomberie.,Skikda,14194,4.4,36.8252292,6.8890251,2026-11-30 17:19:53,2026-12-02 17:19:53,El Hadaiek
2317,CL-1329,User_1329,1991,Dina_1991,Fabrication de parfums,Création artisanale de parfums.,Skikda,14969,3.9,36.7051396,6.8043312,2026-11-12 02:44:03,2026-12-06 02:44:03,Emdjez Edchich
2318,CL-0499,User_0499,491,Farid_491,Plombier,Réparation et installation de plomberie.,Skikda,5660,4.9,37.0470382,6.4205306,2026-11-12 19:11:09,2026-12-09 19:11:09,Kanoua
2319,CL-0871,User_0871,901,Lina_901,Cosmétiques (Crèmes hydratantes),Fabrication de cosmétiques artisanaux.,Skikda,4136,3.9,36.9949643,6.3424894,2026-04-06 18:24:21,2026-04-27 18:24:21,Ouled Attia
2320,CL-0540,User_0540,1815,Aya_1815,Traiteur / Pâtissier,Préparation de plats et pâtisseries.,Skikda,10219,4.0,36.8200545,6.3880209,2026-09-13 04:56:11,2026-09-18 04:56:11,Ouldja Boulballout
2321,CL-0181,User_0181,4908,Manal_4908,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,3065,3.6,37.0065806,6.5690345,2026-07-16 02:03:50,2026-08-10 02:03:50,Collo
2322,CL-0585,User_0585,777,Mounia_777,Organisation d'événements,Planification et gestion d'événements.,Skikda,13442,4.6,36.8013181,6.461086944444444,2026-10-01 16:03:13,2026-10-25 16:03:13,Aïn Kechra
2323,CL-1589,User_1589,1520,Adel_1520,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,13096,3.7,36.9304439,6.5842202,2026-01-17 15:00:21,2026-01-24 15:00:21,Kerkera
2324,CL-0396,User_0396,4159,Karim_4159,Ébéniste,Création et restauration de meubles.,Skikda,13506,4.2,36.8992518,6.7934365,2026-09-16 22:48:21,2026-09-27 22:48:21,Aïn Zouit
2325,CL-0173,User_0173,2913,Mokhtar_2913,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,8411,4.3,36.8003477,6.9805739,2026-04-02 09:31:34,2026-04-26 09:31:34,Beni Bechir
2326,CL-1794,User_1794,4749,Wissal_4749,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,10694,3.2,36.8081951,6.5668371,2026-10-12 01:26:22,2026-11-03 01:26:22,Bin El Ouiden
2327,CL-0424,User_0424,3737,Mustapha_3737,Menuisier,Fabrication et pose d'ouvrages en bois.,Skikda,3024,3.8,36.8003477,6.9805739,2026-08-17 10:55:41,2026-08-21 10:55:41,Beni Bechir
2328,CL-1158,User_1158,936,Ilyes_936,Maçon,Travaux de maçonnerie générale.,Skikda,7136,3.6,36.9097648,6.3403579,2026-12-05 18:23:27,2026-12-16 18:23:27,Oued Zehour
2329,CL-0036,User_0036,835,Hamza_835,Ébéniste,Création et restauration de meubles.,Skikda,6790,4.8,37.0090418,6.2844786,2026-08-01 02:08:22,2026-08-15 02:08:22,Kheneg Mayoum
2330,CL-0431,User_0431,2820,Nassima_2820,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,6647,3.3,36.8003477,6.9805739,2026-07-31 18:28:43,2026-08-26 18:28:43,Beni Bechir
2331,CL-0882,User_0882,3050,Adem_3050,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,4548,3.8,36.8252292,6.8890251,2026-01-23 02:54:06,2026-02-04 02:54:06,El Hadaiek
2332,CL-0271,User_0271,1610,Samia_1610,Coiffure à Domicile,Coiffure à domicile.,Skikda,1888,4.1,36.6439118,6.6281274,2026-06-15 05:05:01,2026-07-12 05:05:01,Beni Oulbane
2333,CL-1295,User_1295,4784,Hakim_4784,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,11511,3.7,36.9124122,6.4762934,2026-03-08 11:07:49,2026-03-29 11:07:49,Beni Zid
2334,CL-0174,User_0174,736,Mokhtar_736,Antenniste,Installation et réglage d'antennes.,Skikda,2254,3.9,36.8992518,6.7934365,2026-05-15 14:02:47,2026-06-09 14:02:47,Aïn Zouit
2335,CL-1924,User_1924,4910,Chahinez_4910,Organisation d'événements,Planification et gestion d'événements.,Skikda,14169,3.8,36.9124122,6.4762934,2026-05-22 22:32:41,2026-05-28 22:32:41,Beni Zid
2336,CL-0933,User_0933,1643,Hocine_1643,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,8439,4.1,36.9888886,6.4592299,2026-09-20 00:33:26,2026-10-03 00:33:26,Zitouna
2337,CL-1486,User_1486,3672,Dalila_3672,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,14465,4.8,36.9097648,6.3403579,2026-02-03 04:20:33,2026-03-03 04:20:33,Oued Zehour
2338,CL-0782,User_0782,4058,Majda_4058,Tapissier / Couturier (Linge de Maison),Confection et rénovation textile.,Skikda,14441,5.0,36.7051396,6.8043312,2026-08-29 04:01:09,2026-09-10 04:01:09,Emdjez Edchich
2339,CL-0996,User_0996,1497,Fouad_1497,Vitrailler / Miroitier,Pose et réparation de vitres et miroirs.,Skikda,7953,3.1,37.0065806,6.5690345,2026-09-22 03:53:24,2026-09-28 03:53:24,Collo
2340,CL-1520,User_1520,1670,Farouk_1670,Ébéniste,Création et restauration de meubles.,Skikda,12960,4.4,36.9097648,6.3403579,2026-04-21 11:46:35,2026-05-02 11:46:35,Oued Zehour
2341,CL-0658,User_0658,4252,Zaki_4252,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,8959,3.3,36.8992518,6.7934365,2026-04-22 12:49:36,2026-05-20 12:49:36,Aïn Zouit
2342,CL-1263,User_1263,2545,Wafa_2545,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,6944,3.1,36.9097648,6.3403579,2026-01-24 16:54:04,2026-02-03 16:54:04,Oued Zehour
2343,CL-1662,User_1662,4461,Karim_4461,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,4540,4.3,36.7388133,7.1062378,2026-08-08 04:27:45,2026-08-26 04:27:45,Azzaba
2344,CL-1066,User_1066,2092,Hamza_2092,Étanchéiste,Traitement et protection contre les infiltrations.,Skikda,5202,4.2,37.0017763,6.5133033,2026-08-02 22:11:35,2026-08-18 22:11:35,Cheraïa
2345,CL-0854,User_0854,3969,Fatima_3969,Traiteur / Pâtissier,Préparation de plats et pâtisseries.,Skikda,14934,3.8,36.8003477,6.9805739,2026-08-25 00:31:59,2026-09-12 00:31:59,Beni Bechir
2346,CL-0212,User_0212,2527,Mohamed_2527,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,14019,3.8,36.7051396,6.8043312,2026-09-23 23:18:37,2026-09-29 23:18:37,Emdjez Edchich
2347,CL-1430,User_1430,1113,Kenza_1113,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,8768,4.8,36.7331778,7.2219657,2026-12-08 19:29:07,2026-12-27 19:29:07,Aïn Charchar
2348,CL-0044,User_0044,1468,Mohamed_1468,Installateur Systèmes Sécurité,"Caméras, alarmes et contrôle d'accès.",Skikda,11675,4.5,36.7792138,7.1724216,2026-09-07 19:59:19,2026-09-16 19:59:19,Djendel Saadi Mohamed
2349,CL-1058,User_1058,1327,Bilal_1327,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,11317,3.4,37.0065806,6.5690345,2026-07-01 21:50:23,2026-07-03 21:50:23,Collo
2350,CL-1461,User_1461,268,Fayçal_268,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,14234,3.0,36.8013181,6.461086944444444,2026-03-15 15:44:57,2026-03-19 15:44:57,Aïn Kechra
2351,CL-1398,User_1398,2133,Ali_2133,Carreleur,Pose et réparation de carrelage.,Skikda,3724,3.8,37.0310788,7.2566883,2026-12-30 08:48:31,2026-12-31 18:00:00,El Marsa
2352,CL-1501,User_1501,721,Samir_721,Réparation Électroménager,Réparation d'appareils électroménagers.,Skikda,9848,3.0,36.8252292,6.8890251,2026-11-10 03:30:00,2026-12-05 03:30:00,El Hadaiek
2353,CL-0246,User_0246,3443,Hiba_3443,Organisation d'événements,Planification et gestion d'événements.,Skikda,12775,4.6,36.9124122,6.4762934,2026-02-01 16:31:24,2026-02-21 16:31:24,Beni Zid
2354,CL-0356,User_0356,1927,Chiraz_1927,Tapissier / Couturier (Linge de Maison),Confection et rénovation textile.,Skikda,3081,4.7,36.6939025,7.3105409,2026-11-21 15:02:54,2026-12-20 15:02:54,Bekkouche Lakhdar
2355,CL-0411,User_0411,1975,Yacine_1975,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,9698,4.3,36.7051396,6.8043312,2026-05-12 09:06:44,2026-06-08 09:06:44,Emdjez Edchich
2356,CL-0130,User_0130,4115,Siham_4115,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,6237,3.2,36.8003477,6.9805739,2026-01-11 08:56:18,2026-01-17 08:56:18,Beni Bechir
2357,CL-0141,User_0141,3325,Kamel_3325,Ébéniste,Création et restauration de meubles.,Skikda,6036,4.2,36.7051396,6.8043312,2026-03-14 17:32:09,2026-03-29 17:32:09,Emdjez Edchich
2358,CL-0264,User_0264,1506,Sofia_1506,Tapissier / Couturier (Linge de Maison),Confection et rénovation textile.,Skikda,9303,3.2,36.4916761,6.939741,2026-01-10 10:50:17,2026-01-22 10:50:17,Ouled Hbaba
2359,CL-0499,User_0499,1501,Ferial_1501,Organisation d'événements,Planification et gestion d'événements.,Skikda,11751,4.0,36.8003477,6.9805739,2026-10-26 17:13:13,2026-11-08 17:13:13,Beni Bechir
2360,CL-1495,User_1495,2742,Hichem_2742,Installateur Systèmes Sécurité,"Caméras, alarmes et contrôle d'accès.",Skikda,4165,3.3,36.8013181,6.461086944444444,2026-02-19 09:49:44,2026-03-11 09:49:44,Aïn Kechra
2361,CL-1923,User_1923,4553,Tarek_4553,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,13883,4.3,37.0065806,6.5690345,2026-05-04 18:51:34,2026-05-19 18:51:34,Collo
2362,CL-1388,User_1388,4168,Lina_4168,Restauration de vêtements,Réparation et retouche de vêtements.,Skikda,3503,4.7,36.6514052,6.8360907,2026-02-20 06:06:00,2026-03-09 06:06:00,El Harrouch
2363,CL-0431,User_0431,2085,Mustapha_2085,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,13567,4.8,36.8168179,6.780452,2026-01-13 14:41:10,2026-02-04 14:41:10,Bouchtata
2364,CL-0605,User_0605,3955,Anis_3955,Piscines (Constructeur/Maintenance),Construction et entretien de piscines.,Skikda,13102,3.1,36.9949643,6.3424894,2026-02-26 12:59:57,2026-03-20 12:59:57,Ouled Attia
2365,CL-1479,User_1479,4974,Sofia_4974,Cosmétiques (Crèmes hydratantes),Fabrication de cosmétiques artisanaux.,Skikda,11728,3.6,36.7388133,7.1062378,2026-08-24 10:21:07,2026-09-14 10:21:07,Azzaba
2366,CL-0173,User_0173,1491,Hichem_1491,Antenniste,Installation et réglage d'antennes.,Skikda,3479,4.5,36.8441177,6.929106,2026-02-16 10:43:21,2026-02-24 10:43:21,Hamadi Krouma
2367,CL-1798,User_1798,3507,Meriem_3507,Restauration de vêtements,Réparation et retouche de vêtements.,Skikda,6027,3.2,36.8081951,6.5668371,2026-05-30 16:09:05,2026-06-26 16:09:05,Bin El Ouiden
2368,CL-0106,User_0106,2458,Nassim_2458,Antenniste,Installation et réglage d'antennes.,Skikda,10709,4.7,36.9097648,6.3403579,2026-02-14 20:30:35,2026-02-14 20:30:35,Oued Zehour
2369,CL-0110,User_0110,3556,Marouane_3556,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,13028,4.8,36.7792138,7.1724216,2026-01-21 10:37:55,2026-01-31 10:37:55,Djendel Saadi Mohamed
2370,CL-0098,User_0098,4724,Souad_4724,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,7744,3.4,36.8200545,6.3880209,2026-01-30 11:31:36,2026-02-07 11:31:36,Ouldja Boulballout
2371,CL-1964,User_1964,3862,Samir_3862,Soudeur (Ferronnier),Travaux de soudure et ferronnerie.,Skikda,14016,3.2,37.0017763,6.5133033,2026-12-12 03:38:52,2026-12-22 03:38:52,Cheraïa
2372,CL-1948,User_1948,2396,Dalila_2396,Traiteur / Pâtissier,Préparation de plats et pâtisseries.,Skikda,9266,3.7,36.7792138,7.1724216,2026-04-15 16:59:49,2026-05-04 16:59:49,Djendel Saadi Mohamed
2373,CL-0774,User_0774,4346,Zahra_4346,Organisation d'événements,Planification et gestion d'événements.,Skikda,14721,4.6,36.7558331,6.9259068,2026-08-02 18:50:22,2026-08-15 18:50:22,Ramdane Djamel
2374,CL-1650,User_1650,3223,Warda_3223,Décorateur d'intérieur,Aménagement et décoration intérieure.,Skikda,8199,4.7,36.6939025,7.3105409,2026-03-30 07:10:26,2026-04-29 07:10:26,Bekkouche Lakhdar
2375,CL-0173,User_0173,1044,Samir_1044,Maçon,Travaux de maçonnerie générale.,Skikda,11910,4.7,36.7051396,6.8043312,2026-02-19 11:22:47,2026-03-21 11:22:47,Emdjez Edchich
2376,CL-0197,User_0197,4918,Mehdi_4918,Ébéniste,Création et restauration de meubles.,Skikda,7537,3.4,36.8168179,6.780452,2026-08-11 05:56:41,2026-08-12 05:56:41,Bouchtata
2377,CL-1335,User_1335,1568,Lotfi_1568,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,7501,3.1,36.9124122,6.4762934,2026-08-20 04:31:53,2026-09-14 04:31:53,Beni Zid
2378,CL-1893,User_1893,3783,Reda_3783,Installateur Systèmes Sécurité,"Caméras, alarmes et contrôle d'accès.",Skikda,11378,4.9,36.7792138,7.1724216,2026-01-24 11:35:30,2026-02-17 11:35:30,Djendel Saadi Mohamed
2379,CL-0752,User_0752,1619,Zaki_1619,Étanchéiste,Traitement et protection contre les infiltrations.,Skikda,2558,4.1,36.8081951,6.5668371,2026-12-20 07:05:28,2026-12-31 18:00:00,Bin El Ouiden
2380,CL-0873,User_0873,3069,Karim_3069,Étanchéiste,Traitement et protection contre les infiltrations.,Skikda,7921,5.0,36.8976496,7.0548176,2026-03-25 06:07:12,2026-04-16 06:07:12,Filfila
2381,CL-1608,User_1608,4167,Ryad_4167,Charpentier,Travaux de charpente et structure.,Skikda,6310,4.5,36.6439118,6.6281274,2026-01-16 19:33:45,2026-01-26 19:33:45,Beni Oulbane
2382,CL-1914,User_1914,4271,Samir_4271,Soudeur (Ferronnier),Travaux de soudure et ferronnerie.,Skikda,5937,3.3,36.7051396,6.8043312,2026-05-31 08:59:27,2026-06-22 08:59:27,Emdjez Edchich
2383,CL-0365,User_0365,4913,Ferial_4913,Coiffure à Domicile,Coiffure à domicile.,Skikda,2938,4.4,36.4916761,6.939741,2026-06-13 13:35:51,2026-07-05 13:35:51,Ouled Hbaba
2384,CL-1744,User_1744,122,Hocine_122,Piscines (Constructeur/Maintenance),Construction et entretien de piscines.,Skikda,9818,3.4,36.6043041,6.7323529,2026-12-17 12:26:07,2026-12-31 18:00:00,Aïn Bouziane
2385,CL-1106,User_1106,3100,Brahim_3100,Dératiseur / Désinsectiseur,Traitement contre nuisibles.,Skikda,8429,3.2,36.6514052,6.8360907,2026-07-09 03:25:45,2026-08-01 03:25:45,El Harrouch
2386,CL-1712,User_1712,377,Aymen_377,Chauffagiste,Installation et entretien de chauffage.,Skikda,11781,4.5,36.8801317,6.9077363,2026-10-25 03:49:28,2026-10-25 03:49:28,Skikda
2387,CL-0359,User_0359,3941,Badr_3941,Plâtrier / Staffeur,Finition murale et décoration en plâtre.,Skikda,3387,3.6,36.7558331,6.9259068,2026-01-20 19:17:08,2026-02-09 19:17:08,Ramdane Djamel
2388,CL-0645,User_0645,1251,Mehdi_1251,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,1569,3.3,37.0310788,7.2566883,2026-02-23 08:42:57,2026-03-10 08:42:57,El Marsa
2389,CL-0551,User_0551,1561,Adel_1561,Électricien,Installation et maintenance électrique.,Skikda,6087,3.9,37.0090418,6.2844786,2026-03-13 16:00:31,2026-04-09 16:00:31,Kheneg Mayoum
2390,CL-0485,User_0485,385,Amal_385,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,9593,4.3,36.7082508,6.7042844,2026-09-03 16:53:52,2026-09-19 16:53:52,Sidi Mezghiche
2391,CL-1184,User_1184,1343,Farouk_1343,Étanchéiste,Traitement et protection contre les infiltrations.,Skikda,9188,3.7,36.8003477,6.9805739,2026-02-15 06:29:39,2026-03-15 06:29:39,Beni Bechir
2392,CL-0601,User_0601,2915,Tarek_2915,Climatisation / Frigoriste,Pose et maintenance de climatisation.,Skikda,5743,4.5,36.7044252,6.8563693,2026-09-11 03:22:37,2026-10-02 03:22:37,Salah Bouchaour
2393,CL-1670,User_1670,4130,Hamza_4130,Charpentier,Travaux de charpente et structure.,Skikda,4964,3.4,36.8992518,6.7934365,2026-06-28 13:08:53,2026-07-18 13:08:53,Aïn Zouit
2394,CL-0466,User_0466,4630,Sofia_4630,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,10489,3.0,36.8992518,6.7934365,2026-04-23 06:04:28,2026-05-12 06:04:28,Aïn Zouit
2395,CL-1318,User_1318,3296,Reda_3296,Vitrailler / Miroitier,Pose et réparation de vitres et miroirs.,Skikda,3871,3.7,36.9888886,6.4592299,2026-06-27 23:40:23,2026-06-28 23:40:23,Zitouna
2396,CL-1539,User_1539,4776,Ryad_4776,Installateur Systèmes Sécurité,"Caméras, alarmes et contrôle d'accès.",Skikda,5241,4.2,36.8003477,6.9805739,2026-08-25 15:19:17,2026-09-11 15:19:17,Beni Bechir
2397,CL-1146,User_1146,771,Yousra_771,Cosmétiques (Crèmes hydratantes),Fabrication de cosmétiques artisanaux.,Skikda,7218,3.5,36.8976496,7.0548176,2026-09-30 22:29:09,2026-10-13 22:29:09,Filfila
2398,CL-0304,User_0304,3511,Badr_3511,Carreleur,Pose et réparation de carrelage.,Skikda,11704,3.3,36.4916761,6.939741,2026-11-08 16:49:04,2026-11-14 16:49:04,Ouled Hbaba
2399,CL-1969,User_1969,533,Siham_533,Tapissier / Couturier (Linge de Maison),Confection et rénovation textile.,Skikda,11388,3.1,36.8252292,6.8890251,2026-08-24 01:28:51,2026-09-11 01:28:51,El Hadaiek
2400,CL-0103,User_0103,216,Yousra_216,Soutien Scolaire,Cours de soutien et accompagnement scolaire.,Skikda,10847,3.7,36.6043041,6.7323529,2026-07-07 11:09:27,2026-07-22 11:09:27,Aïn Bouziane
2401,CL-0926,User_0926,1735,Yasmine_1735,Restauration de vêtements,Réparation et retouche de vêtements.,Skikda,13270,4.5,36.9097648,6.3403579,2026-01-26 10:19:46,2026-02-23 10:19:46,Oued Zehour
2402,CL-1059,User_1059,3298,Malika_3298,Traiteur / Pâtissier,Préparation de plats et pâtisseries.,Skikda,5557,3.3,36.7388133,7.1062378,2026-08-12 15:33:19,2026-09-10 15:33:19,Azzaba
2403,CL-0001,User_0001,3636,Amal_3636,Tapissier / Couturier (Linge de Maison),Confection et rénovation textile.,Skikda,14556,4.4,36.4916761,6.939741,2026-11-03 02:37:46,2026-11-16 02:37:46,Ouled Hbaba
2404,CL-0152,User_0152,4022,Sami_4022,Antenniste,Installation et réglage d'antennes.,Skikda,13365,3.6,36.7082508,6.7042844,2026-02-26 16:49:59,2026-03-22 16:49:59,Sidi Mezghiche
2405,CL-1487,User_1487,1812,Ryad_1812,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,7791,3.6,36.687176,6.9771347,2026-01-04 01:58:48,2026-02-02 01:58:48,El Ghedir
2406,CL-0092,User_0092,4024,Ahmed_4024,Maçon,Travaux de maçonnerie générale.,Skikda,2471,4.0,36.6939025,7.3105409,2026-06-18 00:55:44,2026-07-02 00:55:44,Bekkouche Lakhdar
2407,CL-1915,User_1915,555,Badr_555,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,6916,3.7,36.8003477,6.9805739,2026-11-03 01:00:37,2026-11-11 01:00:37,Beni Bechir
2408,CL-1721,User_1721,1723,Fayçal_1723,Étanchéiste,Traitement et protection contre les infiltrations.,Skikda,9929,4.8,36.7044252,6.8563693,2026-01-09 17:10:49,2026-01-30 17:10:49,Salah Bouchaour
2409,CL-0683,User_0683,1647,Fayçal_1647,Soudeur (Ferronnier),Travaux de soudure et ferronnerie.,Skikda,14364,4.1,36.7051396,6.8043312,2026-08-19 01:46:14,2026-08-31 01:46:14,Emdjez Edchich
2410,CL-0849,User_0849,1591,Fiza_1591,Organisation d'événements,Planification et gestion d'événements.,Skikda,5870,4.9,36.7558331,6.9259068,2026-06-04 20:02:34,2026-06-30 20:02:34,Ramdane Djamel
2411,CL-1742,User_1742,1375,Wissal_1375,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,4489,4.9,36.8441177,6.929106,2026-03-25 04:12:34,2026-03-29 04:12:34,Hamadi Krouma
2412,CL-0395,User_0395,3507,Meriem_3507,Restauration de vêtements,Réparation et retouche de vêtements.,Skikda,6027,3.2,36.8081951,6.5668371,2026-05-30 16:09:05,2026-06-26 16:09:05,Bin El Ouiden
2413,CL-1549,User_1549,4355,Nassima_4355,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,5575,3.6,36.7331778,7.2219657,2026-06-23 04:38:01,2026-07-07 04:38:01,Aïn Charchar
2414,CL-0492,User_0492,2270,Zinedine_2270,Carreleur,Pose et réparation de carrelage.,Skikda,2250,3.6,36.8976496,7.0548176,2026-10-01 17:52:27,2026-10-16 17:52:27,Filfila
2415,CL-1492,User_1492,3496,Djamila_3496,Soutien Scolaire,Cours de soutien et accompagnement scolaire.,Skikda,11260,3.5,36.8992518,6.7934365,2026-09-27 21:35:01,2026-10-02 21:35:01,Aïn Zouit
2416,CL-1259,User_1259,3537,Ismail_3537,Plâtrier / Staffeur,Finition murale et décoration en plâtre.,Skikda,12231,4.2,36.8992518,6.7934365,2026-04-20 13:56:25,2026-05-16 13:56:25,Aïn Zouit
2417,CL-0550,User_0550,1121,Omar_1121,Dératiseur / Désinsectiseur,Traitement contre nuisibles.,Skikda,6805,4.3,36.8200545,6.3880209,2026-10-23 14:04:47,2026-11-19 14:04:47,Ouldja Boulballout
2418,CL-1269,User_1269,1922,Manal_1922,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,4335,4.9,36.8992518,6.7934365,2026-02-14 09:09:32,2026-03-02 09:09:32,Aïn Zouit
2419,CL-1829,User_1829,1834,Siham_1834,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,9508,4.4,36.8600024,7.2917539,2026-07-15 11:54:17,2026-07-23 11:54:17,Ben Azzouz
2420,CL-0185,User_0185,2172,Meriem_2172,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,8583,4.8,36.6439118,6.6281274,2026-09-11 05:52:50,2026-10-03 05:52:50,Beni Oulbane
2421,CL-0623,User_0623,4608,Tarek_4608,Climatisation / Frigoriste,Pose et maintenance de climatisation.,Skikda,5235,4.3,37.0310788,7.2566883,2026-02-05 08:42:42,2026-02-18 08:42:42,El Marsa
2422,CL-1896,User_1896,4784,Hakim_4784,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,11511,3.7,36.9124122,6.4762934,2026-03-08 11:07:49,2026-03-29 11:07:49,Beni Zid
2423,CL-1349,User_1349,3309,Asma_3309,Traiteur / Pâtissier,Préparation de plats et pâtisseries.,Skikda,4506,4.1,36.687176,6.9771347,2026-01-16 09:19:56,2026-02-11 09:19:56,El Ghedir
2424,CL-1497,User_1497,701,Zohra_701,Fabrication de parfums,Création artisanale de parfums.,Skikda,4937,4.8,37.0017763,6.5133033,2026-10-30 13:38:36,2026-11-18 13:38:36,Cheraïa
2425,CL-0025,User_0025,2732,Lila_2732,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,12322,4.4,36.9888886,6.4592299,2026-07-09 20:15:10,2026-07-18 20:15:10,Zitouna
2426,CL-0008,User_0008,1389,Abderrahmane_1389,Réparation Électroménager,Réparation d'appareils électroménagers.,Skikda,9179,4.7,36.7003588,6.5076167,2026-01-03 02:06:23,2026-01-30 02:06:23,Oum Toub
2427,CL-0304,User_0304,26,Kamel_26,Chauffagiste,Installation et entretien de chauffage.,Skikda,5253,4.4,36.8003477,6.9805739,2026-02-14 02:51:18,2026-03-04 02:51:18,Beni Bechir
2428,CL-1005,User_1005,4023,Majda_4023,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,12473,3.3,36.687176,6.9771347,2026-07-18 04:32:54,2026-08-06 04:32:54,El Ghedir
2429,CL-0818,User_0818,3798,Salah_3798,Dératiseur / Désinsectiseur,Traitement contre nuisibles.,Skikda,8485,3.5,36.8600024,7.2917539,2026-08-05 15:08:59,2026-08-29 15:08:59,Ben Azzouz
2430,CL-1827,User_1827,10,Samira_10,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,9127,3.7,36.7003588,6.5076167,2026-10-02 08:16:42,2026-10-17 08:16:42,Oum Toub
2431,CL-0706,User_0706,3713,Nour_3713,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,9413,4.0,37.0470382,6.4205306,2026-02-02 09:34:36,2026-02-23 09:34:36,Kanoua
2432,CL-1474,User_1474,4213,Omar_4213,Soudeur (Ferronnier),Travaux de soudure et ferronnerie.,Skikda,13945,4.0,37.0017763,6.5133033,2026-06-24 10:36:38,2026-06-29 10:36:38,Cheraïa
